,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
0,2018-09-03,sh.600000,7.8629995600,7.8859684000,7.7864367600,7.8400307200,7.9089372400,14309539,146457275.0000,2,0.050917,1,-0.871250,0
1,2018-09-04,sh.600000,7.8170618800,7.9625312000,7.7940930400,7.9395623600,7.8400307200,16353060,168632347.0000,2,0.058188,1,1.269532,0
2,2018-09-05,sh.600000,7.8936246800,7.9395623600,7.7481553600,7.7481553600,7.9395623600,22729232,232884783.0000,2,0.080876,1,-2.410800,0
3,2018-09-06,sh.600000,7.7481553600,7.8323744400,7.7481553600,7.7634679200,7.7481553600,10546916,107317753.0000,2,0.037528,1,0.197633,0
4,2018-09-07,sh.600000,7.7711242000,7.8476870000,7.7481553600,7.8017493200,7.7634679200,8995716,91694437.0000,2,0.032009,1,0.493089,0
5,2018-09-10,sh.600000,7.7787804800,7.8323744400,7.7558116400,7.7940930400,7.8017493200,11822813,120376355.0000,2,0.042068,1,-0.098128,0
6,2018-09-11,sh.600000,7.8247181600,7.8629995600,7.6409674400,7.6715925600,7.7940930400,19689042,199401394.0000,2,0.070058,1,-1.571708,0
7,2018-09-12,sh.600000,7.6486237200,7.7098739600,7.6179986000,7.6869051200,7.6715925600,16506103,165231589.0000,2,0.058733,1,0.199596,0
8,2018-09-13,sh.600000,7.7864367600,7.8859684000,7.7404990800,7.8783121200,7.6869051200,29417198,300441533.0000,2,0.104674,1,2.490040,0
9,2018-09-14,sh.600000,7.9319060800,7.9319060800,7.8170618800,7.8553432800,7.8783121200,16450780,169083471.0000,2,0.058536,1,-0.291543,0
10,2018-09-17,sh.600000,7.8553432800,7.8706558400,7.7328428000,7.7711242000,7.8553432800,10535343,107339083.0000,2,0.037487,1,-1.072131,0
11,2018-09-18,sh.600000,7.7787804800,7.8553432800,7.7251865200,7.8553432800,7.7711242000,16684789,170045729.0000,2,0.059369,1,1.083750,0
12,2018-09-19,sh.600000,7.8706558400,7.8783121200,7.8094056000,7.8400307200,7.8553432800,18550643,190221692.0000,2,0.066008,1,-0.194936,0
13,2018-09-20,sh.600000,7.8553432800,7.8706558400,7.7940930400,7.8247181600,7.8400307200,16307051,166658023.0000,2,0.058024,1,-0.195308,0
14,2018-09-21,sh.600000,7.8400307200,8.0314377200,7.7711242000,8.0314377200,7.8247181600,37571431,388504217.0000,2,0.133688,1,2.641874,0
15,2018-09-25,sh.600000,7.9472186400,8.0161251600,7.9012809600,7.9242498000,8.0314377200,15879199,164580504.0000,2,0.056502,1,-1.334599,0
16,2018-09-26,sh.600000,7.9548749200,8.0850316800,7.9165935200,7.9701874800,7.9242498000,31175799,326010701.0000,2,0.110931,1,0.579705,0
17,2018-09-27,sh.600000,8.0008126000,8.0237814400,7.9472186400,8.0237814400,7.9701874800,24182714,252306120.0000,2,0.086048,1,0.672427,0
18,2018-09-28,sh.600000,8.0314377200,8.2305010000,7.9931563200,8.1309693600,8.0237814400,37430602,396863685.0000,2,0.133187,1,1.335881,0
19,2018-10-08,sh.600000,7.9548749200,8.0237814400,7.7711242000,7.7787804800,8.1309693600,41957276,432913252.0000,2,0.149294,1,-4.331450,0
20,2018-10-09,sh.600000,7.7175302400,7.8400307200,7.7098739600,7.7711242000,7.7787804800,23159026,234661842.0000,2,0.082405,1,-0.098427,0
21,2018-10-10,sh.600000,7.7634679200,7.8706558400,7.7558116400,7.7864367600,7.7711242000,18124701,184735118.0000,2,0.064492,1,0.197049,0
22,2018-10-11,sh.600000,7.6562800000,7.6945614000,7.4342478800,7.5031544000,7.7864367600,39056785,386778863.0000,2,0.138974,1,-3.638150,0
23,2018-10-12,sh.600000,7.5797172000,7.7328428000,7.5261232400,7.6792488400,7.5031544000,25145127,250805638.0000,2,0.089472,1,2.346934,0
24,2018-10-15,sh.600000,7.6945614000,7.7787804800,7.6333111600,7.6792488400,7.6792488400,13957844,140122866.0000,2,0.049665,1,0.000000,0
25,2018-10-16,sh.600000,7.6792488400,7.8017493200,7.6333111600,7.6945614000,7.6792488400,15308344,154272073.0000,2,0.054471,1,0.199406,0
26,2018-10-17,sh.600000,7.7940930400,7.8936246800,7.7634679200,7.8783121200,7.6945614000,26520895,271564080.0000,2,0.094368,1,2.388057,0
27,2018-10-18,sh.600000,7.9242498000,7.9242498000,7.7787804800,7.8017493200,7.8783121200,22403988,229432798.0000,2,0.079719,1,-0.971821,0
28,2018-10-19,sh.600000,7.8476870000,7.9855000400,7.7098739600,7.9472186400,7.8017493200,40331386,414893373.0000,2,0.143509,1,1.864578,0
29,2018-10-22,sh.600000,7.9012809600,8.1922196000,7.9012809600,8.1309693600,7.9472186400,47003409,497527573.0000,2,0.167250,1,2.312136,0
30,2018-10-23,sh.600000,8.1462819200,8.1922196000,8.0008126000,8.0008126000,8.1309693600,38089035,403493088.0000,2,0.135530,1,-1.600754,0
31,2018-10-24,sh.600000,8.0926879600,8.4601894000,8.0544065600,8.2228447200,8.0008126000,59165552,639391016.0000,2,0.210525,1,2.775119,0
32,2018-10-25,sh.600000,8.1156568000,8.3376889200,8.0697191200,8.2994075200,8.2228447200,36866593,393987422.0000,2,0.131180,1,0.931102,0
33,2018-10-26,sh.600000,8.3070638000,8.4065954400,8.2228447200,8.3606577600,8.2994075200,27519309,298733755.0000,2,0.097920,1,0.738007,0
